date,resource,risk_score
2024-01-29,GPU,0.993859824878502
2024-02-05,GPU,0.9997305457959372
2024-02-12,GPU,0.9999733196314546
2024-02-19,GPU,0.999906049171814
2024-02-26,GPU,0.9999613532726496
2024-03-04,GPU,0.9999589580366705
2024-03-11,GPU,0.9999611921498032
2024-03-18,GPU,0.9999116200912816
2024-03-25,GPU,0.9999634208167658
2024-04-01,GPU,0.9999502387528874
2024-04-08,GPU,0.999907451559765
2024-04-15,GPU,0.9996033111596696
2024-04-22,GPU,0.9995128231111486
2024-04-29,GPU,0.9999676472618328
2024-05-06,GPU,0.99995579225221
2024-05-13,GPU,0.9999127514133448
2024-05-20,GPU,0.999956812613059
2024-05-27,GPU,0.9999845943574024
2024-06-03,GPU,0.9997610767904452
2024-06-10,GPU,0.9992144269723268
2024-06-17,GPU,0.9984607157932196
2024-06-24,GPU,0.994677489748164
2024-07-01,GPU,0.999487970531754
2024-07-08,GPU,0.9993952986042652
2024-07-15,GPU,0.9981192154007834
2024-07-22,GPU,0.9993948912073324
2024-07-29,GPU,0.9997531377647688
2024-08-05,GPU,0.9998164735396026
2024-08-12,GPU,0.9999293414959286
2024-08-19,GPU,0.9998899431083844
2024-08-26,GPU,0.9985600010039132
2024-09-02,GPU,0.9999618662553332
2024-09-09,GPU,0.999686076883042
2024-09-16,GPU,0.9995698165279432
2024-09-23,GPU,0.9991428225318472
2024-09-30,GPU,0.9924305406581656
2024-10-07,GPU,0.9997596308472064
2024-10-14,GPU,0.9997747720066862
2024-10-21,GPU,0.9997636586423724
2024-10-28,GPU,0.9999055084970462
2024-11-04,GPU,0.9999295944480688
2024-11-11,GPU,0.9990436061311072
2024-11-18,GPU,0.9998070715142462
2024-11-25,GPU,0.9997017442548796
2024-12-02,GPU,0.9996236611814392
2024-12-09,GPU,0.9997177758526372
2024-12-16,GPU,0.9999442390538896
2024-12-23,GPU,0.9997144080691658
2024-12-30,GPU,0.9999019105778748
2025-01-06,GPU,0.9998641283732742
2025-01-13,GPU,0.9997050854106818
2025-01-20,GPU,0.9998281902117088
2025-01-27,GPU,0.9991373216652558
2025-02-03,GPU,0.9995635444850184
2025-02-10,GPU,0.9998488262828298
2025-02-17,GPU,0.9997981372328264
2025-02-24,GPU,0.999511219876136
2025-03-03,GPU,0.9996155386104962
2025-03-10,GPU,0.9998976542931834
2025-03-17,GPU,0.9997906240164176
2025-03-24,GPU,0.9994040033311732
2025-03-31,GPU,0.9999363339756676
2025-04-07,GPU,0.9999587110532724
2025-04-14,GPU,0.9997612491253725
2025-04-21,GPU,0.99986264376289
2025-04-28,GPU,0.9996234680947595
2025-05-05,GPU,0.9999076085249038
2025-05-12,GPU,0.9999482373246432
2025-05-19,GPU,0.9999009604560029
2025-05-26,GPU,0.999899035978781
2025-06-02,GPU,0.999798171670163
2025-06-09,GPU,0.9998427441923176
2025-06-16,GPU,0.9987137822462088
2025-06-23,GPU,0.9986921172105864
2025-06-30,GPU,0.9960497381435126
2025-07-07,GPU,0.0082743958940309
2025-07-14,GPU,0.0194206380465121
2025-07-21,GPU,0.0015954300614785
2025-07-28,GPU,0.0022070321551494
2025-08-04,GPU,0.00623549994247
2025-08-11,GPU,0.0018212994233452
2025-08-18,GPU,0.0020603824601735
2025-08-25,GPU,0.002796657589534
2025-09-01,GPU,0.0027263213747239
2025-09-08,GPU,0.002911397908146
2025-09-15,GPU,0.0045504535078646
2025-09-22,GPU,0.0030069878361382
2025-09-29,GPU,0.0128156812310819
2025-10-06,GPU,0.0053669344753434
2025-10-13,GPU,0.0026880376056865
2025-10-20,GPU,0.0030069878361382
2025-10-27,GPU,0.0136015358322405
2025-11-03,GPU,0.0268062660370661
2025-11-10,GPU,0.0207272239870785
2025-11-17,GPU,0.0136494104142193
2025-11-24,GPU,0.0061317099804242
2025-12-01,GPU,0.0038614518623283
2025-12-08,GPU,0.002248775547705
2025-12-15,GPU,0.007491289367768
2025-12-22,GPU,0.0037526534217473
2025-12-29,GPU,0.0262541967258725
2026-01-05,GPU,0.0262541967258725
2026-01-12,GPU,0.0262541967258725
2026-01-19,GPU,0.0262541967258725
2026-01-26,GPU,0.0020603824601735
2026-02-02,GPU,0.0188255455294944
2026-02-09,GPU,0.0188255455294944
2026-02-16,GPU,0.0061125413243865
2026-02-23,GPU,0.0065767265300853
2026-03-02,GPU,0.0042669736607407
2026-03-09,GPU,0.0116876350976341
2026-03-16,GPU,0.0085128307581477
2026-03-23,GPU,0.0037418667457706
2026-03-30,GPU,0.0071437865611949
2026-04-06,GPU,0.0031648530634048
2026-04-13,GPU,0.0460780820466039
2026-04-20,GPU,0.0505149843278731
2026-04-27,GPU,0.1069608600972471
2026-05-04,GPU,0.0403210558010659
2026-05-11,GPU,0.0969960912267998
2026-05-18,GPU,0.0424186360200658
2026-05-25,GPU,0.0317605854101696
2026-06-01,GPU,0.0325230766024087
2026-06-08,GPU,0.0208270049596031
2026-06-15,GPU,0.0430339255121716
2026-06-22,GPU,0.0346508471077722
2026-06-29,GPU,0.0126201104545334
2023-01-02,HBM,0.9894734101821868
2023-01-09,HBM,0.0003701825973671
2023-01-16,HBM,0.0007832615439878
2023-01-23,HBM,0.0013503225150245
2023-01-30,HBM,0.0228445677857502
2023-02-06,HBM,0.0021641759026405
2023-02-13,HBM,0.0021641759026405
2023-02-20,HBM,0.0016191941773644
2023-02-27,HBM,0.0003017963574562
2023-03-06,HBM,0.0003402613461074
2023-03-13,HBM,0.0014328960407535
2023-03-20,HBM,0.0002786187804173
2023-03-27,HBM,0.0006256306600535
2023-04-03,HBM,0.0003351413181668
2023-04-10,HBM,0.018222732382209
2023-04-17,HBM,0.0014277944307966
2023-04-24,HBM,0.0015373175609839
2023-05-01,HBM,0.0024627992926774
2023-05-08,HBM,0.000687850125753
2023-05-15,HBM,0.9919522624676492
2023-05-22,HBM,0.9912236696816512
2023-05-29,HBM,0.9672435149838912
2023-06-05,HBM,0.0005179905173139
2023-06-12,HBM,0.0008141410506391
2023-06-19,HBM,0.0002410410169786
2023-06-26,HBM,0.0002408051078884
2023-07-03,HBM,0.0002747548780375
2023-07-10,HBM,0.000275969451739
2023-07-17,HBM,0.0002396524229373
2023-07-24,HBM,0.0004607599909699
2023-07-31,HBM,0.0113648962937155
2023-08-07,HBM,0.000329704610411
2023-08-14,HBM,0.0002376375016906
2023-08-21,HBM,0.0002407710620993
2023-08-28,HBM,0.0004445207013416
2023-09-04,HBM,0.0070481251441773
2023-09-11,HBM,0.0052938053597034
2023-09-18,HBM,0.0020615378928805
2023-09-25,HBM,0.0002396524229373
2023-10-02,HBM,0.0004884772535249
2023-10-09,HBM,0.0013804435228196
2023-10-16,HBM,0.000570640536463
2023-10-23,HBM,0.0009716797268064
2023-10-30,HBM,0.0042852393120019
2023-11-06,HBM,0.999961448177346
2023-11-13,HBM,0.9999713207584484
2023-11-20,HBM,0.9999461903556288
2023-11-27,HBM,0.9959641779028956
2023-12-04,HBM,0.9963661470818652
2023-12-11,HBM,0.9967302240120288
2023-12-18,HBM,0.9994712616026268
2023-12-25,HBM,0.9998349073858572
2024-01-01,HBM,0.9997122044008367
2024-01-08,HBM,0.9997869249364
2024-01-15,HBM,0.9997582658616664
2024-01-22,HBM,0.9996901938067564
2024-01-29,HBM,0.9998209832739656
2024-02-05,HBM,0.9998098362269736
2024-02-12,HBM,0.9999070351391492
2024-02-19,HBM,0.9999156874116184
2024-02-26,HBM,0.9996267685152112
2024-03-04,HBM,0.999578615245742
2024-03-11,HBM,0.9996427283982792
2024-03-18,HBM,0.9999589046819726
2024-03-25,HBM,0.9999870339130816
2024-04-01,HBM,0.9998900186407356
2024-04-08,HBM,0.99511234591628
2024-04-15,HBM,0.9996960338864384
2024-04-22,HBM,0.9999306461108504
2024-04-29,HBM,0.99986430550076
2024-05-06,HBM,0.9999328853057504
2024-05-13,HBM,0.9998992926249768
2024-05-20,HBM,0.9998701520535528
2024-05-27,HBM,0.9998674777005876
2024-06-03,HBM,0.9998912793795952
2024-06-10,HBM,0.9999393450432428
2024-06-17,HBM,0.9993034533128012
2024-06-24,HBM,0.9997649048661208
2024-07-01,HBM,0.9997072283529675
2024-07-08,HBM,0.9997279491523072
2024-07-15,HBM,0.9998569308417335
2024-07-22,HBM,0.9998530610673338
2024-07-29,HBM,0.9988801547968208
2024-08-05,HBM,0.9999509213604628
2024-08-12,HBM,0.9999305077743464
2024-08-19,HBM,0.9999777948096304
2024-08-26,HBM,0.999917436047648
2024-09-02,HBM,0.9999754277156828
2024-09-09,HBM,0.999976413084707
2024-09-16,HBM,0.9999438180034068
2024-09-23,HBM,0.9999676240239704
2024-09-30,HBM,0.999963966682672
2024-10-07,HBM,0.999965790171738
2024-10-14,HBM,0.9999613309950972
2024-10-21,HBM,0.999966451088198
2024-10-28,HBM,0.999965682918944
2024-11-04,HBM,0.9999622675433512
2024-11-11,HBM,0.9999390626586692
2024-11-18,HBM,0.9999524386304892
2024-11-25,HBM,0.9999635703951149
2024-12-02,HBM,0.999952531203854
2024-12-09,HBM,0.9999704034937807
2024-12-16,HBM,0.9999606032898252
2024-12-23,HBM,0.9999544605118896
2024-12-30,HBM,0.9999221098162944
2025-01-06,HBM,0.999953725601742
2025-01-13,HBM,0.9999445855018256
2025-01-20,HBM,0.9999328464360262
2025-01-27,HBM,0.9997474422828014
2025-02-03,HBM,0.9999789185639618
2025-02-10,HBM,0.9999679686342008
2025-02-17,HBM,0.9999676949607778
2025-02-24,HBM,0.9999769348315636
2025-03-03,HBM,0.9999602869964784
2025-03-10,HBM,0.9999712711814932
2025-03-17,HBM,0.9999609429720178
2025-03-24,HBM,0.9999651979671764
2025-03-31,HBM,0.9999713354007456
2025-04-07,HBM,0.999955199636284
2025-04-14,HBM,0.9998910068882708
2025-04-21,HBM,0.9997964001704228
2025-04-28,HBM,0.9998501157854772
2025-05-05,HBM,0.99991914892654
2025-05-12,HBM,0.9997834123649998
2025-05-19,HBM,0.9999424517643758
2025-05-26,HBM,0.9999115147715496
2025-06-02,HBM,0.9999612588197112
2025-06-09,HBM,0.9999778917947608
2025-06-16,HBM,0.9999816686484873
2025-06-23,HBM,0.9999145320491064
2025-06-30,HBM,0.9999194827163318
2025-07-07,HBM,0.9949750136224668
2025-07-14,HBM,0.9969195210720654
2025-07-21,HBM,0.9938588597377546
2025-07-28,HBM,0.9837375130968152
2025-08-04,HBM,0.984816623570256
2025-08-11,HBM,0.9986945082701988
2025-08-18,HBM,0.9989064619927313
2025-08-25,HBM,0.99918915879743
2025-09-01,HBM,0.9989767404304992
2025-09-08,HBM,0.9999175015525732
2025-09-15,HBM,0.9950169763549486
2025-09-22,HBM,0.9204016826333488
2025-09-29,HBM,0.0087566377331493
2025-10-06,HBM,0.0094910389611429
2025-10-13,HBM,0.0268836518639327
2025-10-20,HBM,0.0423690370766768
2025-10-27,HBM,0.0769227789043318
2025-11-03,HBM,0.1069608600972471
2025-11-10,HBM,0.1069608600972471
2025-11-17,HBM,0.0327472789369649
2025-11-24,HBM,0.0030971874570484
2025-12-01,HBM,0.002796657589534
2025-12-08,HBM,0.0055498688894248
2025-12-15,HBM,0.0040103108478656
2025-12-22,HBM,0.6346550905760288
2025-12-29,HBM,0.1329825057402399
2026-01-05,HBM,0.1329825057402399
2026-01-12,HBM,0.1329825057402399
2026-01-19,HBM,0.1329825057402399
2026-01-26,HBM,0.0710714980376258
2026-02-02,HBM,0.1392238279668372
2026-02-09,HBM,0.1392238279668372
2026-02-16,HBM,0.1000988968407197
2026-02-23,HBM,0.431043662978884
2026-03-02,HBM,0.0151026003929891
2026-03-09,HBM,0.0063767420592896
2026-03-16,HBM,0.0103774440627444
2026-03-23,HBM,0.0047303099366935
2026-03-30,HBM,0.0163995491745621
2026-04-06,HBM,0.0519230964317627
2026-04-13,HBM,0.0356721776712538
2026-04-20,HBM,0.1069608600972471
2026-04-27,HBM,0.0873023119065576
2026-05-04,HBM,0.7122821327504255
2026-05-11,HBM,0.0873023119065576
2026-05-18,HBM,0.0180674833153946
2026-05-25,HBM,0.0873023119065576
2026-06-01,HBM,0.0482589114547937
2026-06-08,HBM,0.0303931572012622
2026-06-15,HBM,0.0120522875357413
2026-06-22,HBM,0.0280087401593548
2026-06-29,HBM,0.0132605879980253
2023-01-02,NAND,0.0027414472567281
2023-01-09,NAND,0.0001025052035108
2023-01-16,NAND,0.0002895167278764
2023-01-23,NAND,0.0003547462134391
2023-01-30,NAND,0.0019419321633871
2023-02-06,NAND,0.0004840478852401
2023-02-13,NAND,0.0004202387673905
2023-02-20,NAND,0.000276276273242
2023-02-27,NAND,0.0013005614855421
